fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.74,0.836,0.273,2.42,0.069,19.0,64.9,0.99593,3.32,0.785,11.17,5
8.57,0.255,0.457,9.39,0.08,31.0,95.0,0.99779,3.14,0.42,12.23,7
9.07,0.613,0.445,0.5,0.072,38.2,109.6,0.99494,3.11,0.43,10.23,5
7.58,0.494,0.484,0.53,0.076,28.4,106.6,0.9969,3.4,0.793,11.02,6
7.68,0.686,0.412,0.5,0.128,18.1,119.6,0.99708,2.87,0.714,11.01,5
7.18,0.417,0.53,3.87,0.072,15.7,106.3,0.99535,3.26,0.69,13.02,7
8.11,0.583,0.269,4.21,0.1,31.3,114.3,0.99674,3.11,0.751,9.2,5
6.29,0.526,0.355,14.7,0.092,32.0,42.0,0.99566,3.29,0.589,10.46,5
8.53,0.504,0.453,1.88,0.074,7.4,39.1,0.99527,3.33,0.772,9.24,4
6.87,0.486,0.509,2.63,0.084,18.2,109.3,0.99872,3.38,0.754,8.33,5
5.69,0.588,0.207,1.51,0.042,62.3,110.5,0.99468,3.07,0.314,9.78,5
7.49,0.483,0.405,2.76,0.055,41.0,92.1,0.99492,3.28,0.575,11.21,6
6.76,0.54,0.205,1.68,0.06,31.6,61.3,0.99855,3.13,0.647,11.54,6
8.31,0.228,0.049,0.82,0.047,50.0,118.5,0.99525,3.36,0.554,9.85,5
6.71,0.463,0.418,2.23,0.106,32.6,42.6,0.99576,3.31,0.646,8.54,4
9.78,0.491,0.244,0.5,0.044,37.6,83.6,0.99472,3.41,0.719,9.67,5
6.94,0.595,0.192,2.63,0.024,24.5,66.3,0.99668,3.16,0.812,9.42,5
6.45,0.632,0.299,4.13,0.107,1.0,55.0,0.99509,3.23,0.676,9.24,4
6.91,0.204,0.434,1.72,0.105,36.9,107.3,0.99648,3.11,0.534,9.35,4
7.27,0.421,0.289,8.94,0.064,15.8,95.8,0.99352,3.55,0.723,13.04,7
7.97,0.419,0.407,3.91,0.086,50.5,109.6,0.99966,3.36,0.867,9.53,5
8.19,0.533,0.329,4.02,0.086,19.5,75.1,0.99579,3.57,0.709,11.3,6
8.05,0.628,0.275,0.5,0.068,26.1,110.5,0.99692,3.41,0.468,10.97,6
9.2,0.516,0.229,1.37,0.01,30.5,56.0,0.99746,3.38,0.753,13.61,8
7.7,0.247,0.139,3.17,0.089,35.8,89.7,0.99837,2.96,0.709,11.25,6
6.14,0.711,0.411,4.3,0.061,22.8,94.6,0.99601,3.34,0.971,10.66,5
5.53,0.621,0.474,3.26,0.072,6.3,72.4,0.99771,2.84,0.865,11.52,6
5.66,0.286,0.345,2.41,0.05,35.7,115.9,0.99923,3.25,0.782,11.21,6
7.53,0.14,0.166,0.5,0.052,59.3,110.9,0.99523,3.18,0.658,11.86,7
8.6,0.637,0.331,1.29,0.075,21.5,91.4,0.99443,2.98,0.898,11.16,6
6.95,0.298,0.072,0.66,0.082,61.0,157.2,0.99572,3.53,0.707,10.26,5
6.85,0.388,0.337,3.75,0.091,22.7,81.2,0.9944,3.15,0.468,12.03,7
7.01,0.551,0.185,2.34,0.093,3.8,77.0,0.99176,3.12,0.811,10.73,5
9.17,0.692,0.504,1.11,0.084,37.8,102.8,0.99948,3.4,0.72,12.5,7
6.87,0.292,0.213,0.5,0.041,48.9,122.9,0.99418,3.09,0.637,10.0,6
8.46,0.624,0.348,0.55,0.045,44.9,108.3,0.99954,3.31,0.71,8.54,4
8.84,0.673,0.429,3.21,0.124,35.9,87.4,0.99664,3.39,0.725,9.1,4
7.44,0.488,0.351,1.2,0.07,39.2,70.4,0.99813,3.4,0.669,10.61,6
9.22,0.429,0.289,4.02,0.104,49.0,110.1,0.99772,3.32,0.678,10.78,5
7.67,0.207,0.381,4.16,0.034,41.9,121.5,0.99643,3.25,0.74,10.14,5
7.6,0.454,0.359,5.6,0.058,44.3,128.1,1.00032,3.29,0.612,9.45,5
6.53,0.669,0.354,3.37,0.051,15.8,76.9,0.99711,3.52,0.789,11.1,6
5.52,0.593,0.361,2.91,0.074,40.5,69.5,0.99604,3.21,0.759,10.6,5
7.13,0.874,0.262,1.36,0.126,30.1,95.5,0.99556,3.48,0.54,8.92,4
6.26,0.278,0.127,0.5,0.073,35.0,105.1,0.99738,3.33,0.73,10.16,6
6.58,0.545,0.438,1.04,0.131,9.9,89.6,0.99562,3.51,0.507,8.51,4
7.09,0.323,0.409,1.33,0.047,28.8,85.6,0.99554,3.38,0.696,9.38,5
6.78,0.29,0.317,0.59,0.063,22.9,110.0,0.99668,3.42,0.549,10.54,6
7.76,0.419,0.232,0.61,0.082,25.1,60.7,0.99668,3.22,0.61,12.27,7
5.48,0.433,0.291,11.71,0.092,23.0,79.3,0.99474,3.34,0.609,10.44,6
7.73,0.361,0.307,2.52,0.112,43.5,82.4,0.99836,3.34,0.421,12.31,7
6.69,1.061,0.154,1.59,0.063,45.7,92.7,0.99461,3.36,0.545,9.56,4
6.54,0.676,0.385,4.26,0.103,2.5,36.0,0.99937,3.42,0.871,9.82,6
5.04,0.414,0.474,0.5,0.058,35.9,101.4,0.99771,3.03,0.72,8.41,4
4.81,0.479,0.198,3.1,0.113,7.7,81.2,0.99839,3.34,0.674,12.01,6
6.97,0.799,0.091,1.39,0.06,38.6,93.1,0.99598,3.34,0.86,11.1,6
8.22,0.691,0.366,1.64,0.035,38.9,82.6,0.99763,3.24,0.616,13.17,8
7.57,0.618,0.309,8.44,0.067,45.7,101.9,0.99492,3.28,0.558,11.06,5
6.36,0.354,0.319,1.44,0.074,42.5,109.5,0.99723,3.41,0.465,9.68,6
6.64,0.158,0.16,2.06,0.12,33.0,71.6,0.99643,3.22,0.689,10.77,6
5.41,0.446,0.521,1.4,0.115,39.1,135.6,0.99989,3.32,0.896,12.41,7
6.94,0.561,0.446,1.23,0.136,3.0,24.4,0.9985,3.24,0.91,10.7,6
9.98,0.554,0.337,1.04,0.046,37.7,138.6,0.99738,3.25,0.499,9.11,5
7.55,0.366,0.261,2.41,0.146,29.9,64.0,0.99957,3.3,0.706,10.39,5
7.45,0.229,0.184,3.83,0.099,29.3,58.1,0.99318,3.21,0.651,9.58,5
8.17,0.454,0.509,1.41,0.067,17.1,83.8,0.99458,2.89,0.469,9.66,4
6.42,0.325,0.344,3.17,0.091,45.6,106.8,0.9948,3.12,0.699,10.66,6
6.91,0.184,0.346,2.96,0.034,32.1,98.1,0.9952,3.24,0.597,9.71,5
7.74,0.545,0.308,0.5,0.134,5.8,42.8,0.99852,3.14,0.302,10.84,6
7.08,0.569,0.196,0.72,0.069,35.0,91.0,0.99825,3.04,0.78,12.34,7
10.28,0.141,0.167,2.9,0.088,23.7,98.7,0.9934,3.26,0.69,9.79,5
7.24,0.157,0.342,5.15,0.142,34.2,69.5,0.99967,3.25,0.834,12.31,7
5.22,0.316,0.487,2.94,0.142,21.0,81.6,0.99393,3.54,0.553,10.73,6
7.27,0.317,0.066,2.78,0.017,24.4,117.4,0.9959,3.43,0.748,9.58,4
6.99,0.666,0.604,9.97,0.058,21.8,90.7,0.9964,2.92,0.74,10.83,5
8.35,0.67,0.491,2.61,0.079,41.3,102.2,0.99741,3.13,0.624,10.04,5
7.72,0.339,0.178,2.51,0.104,51.3,64.4,0.99869,3.34,0.818,9.76,5
8.32,0.504,0.099,1.51,0.04,36.5,56.5,0.9963,3.24,0.611,12.06,6
5.89,0.493,0.202,4.77,0.076,39.9,137.1,0.99548,3.22,0.465,8.0,4
7.44,0.489,0.128,0.5,0.02,1.0,70.8,0.9965,3.25,0.562,9.9,6
6.77,0.571,0.346,2.64,0.084,23.8,112.9,0.99962,3.42,0.592,12.38,7
8.75,0.414,0.198,3.57,0.13,33.1,92.8,0.99553,3.21,0.42,12.09,7
6.29,0.456,0.334,6.41,0.04,29.4,95.4,0.9964,3.31,0.616,8.0,3
6.27,0.314,0.262,0.5,0.038,27.8,50.2,0.99703,3.07,0.477,10.88,6
7.35,0.21,0.158,2.98,0.127,7.8,37.2,0.99375,3.61,0.597,10.66,5
8.79,0.758,0.444,8.69,0.094,33.6,131.3,0.99804,3.26,0.723,9.97,5
6.79,0.37,0.127,0.78,0.039,44.2,95.9,0.99602,3.26,0.435,12.39,6
5.9,0.5,0.272,2.64,0.019,35.2,138.1,0.99754,3.32,0.728,12.38,7
7.08,0.645,0.065,0.5,0.072,26.7,85.3,0.99632,3.11,0.434,11.94,6
7.28,0.65,0.547,2.72,0.09,28.9,117.6,0.99553,3.41,0.564,10.89,5
6.48,0.307,0.254,2.36,0.073,51.9,125.8,0.99277,3.27,0.563,8.64,4
10.38,0.777,0.377,5.58,0.077,26.4,108.7,0.99582,3.31,0.818,10.35,5
8.07,0.73,0.199,0.63,0.092,22.6,51.7,0.99276,3.36,0.559,10.97,5
7.86,0.728,0.507,5.81,0.071,48.6,126.5,0.99671,3.13,0.51,9.79,5
5.05,0.476,0.306,2.37,0.157,49.8,147.7,1.00047,3.27,0.311,10.85,5
6.92,0.49,0.324,1.3,0.09,23.4,45.5,0.99629,3.39,0.661,9.54,5
7.28,0.447,0.414,1.94,0.038,27.4,58.8,0.99909,3.03,0.722,10.75,6
6.05,0.495,0.275,2.66,0.024,44.6,95.3,0.99784,3.21,0.728,8.0,4
7.06,0.482,0.219,0.68,0.077,26.8,102.8,0.99497,3.33,0.467,9.44,5
6.68,0.386,0.459,9.56,0.046,22.0,60.4,0.9955,3.31,0.764,9.2,5
7.5,0.681,0.219,3.43,0.118,41.9,115.5,0.99772,3.47,0.607,10.46,5
9.06,0.499,0.302,2.95,0.075,62.5,108.3,0.99846,3.21,0.807,9.28,5
11.28,0.44,0.459,0.6,0.06,33.8,104.0,0.99512,3.47,0.733,9.98,5
4.9,0.42,0.211,0.5,0.045,24.8,86.6,0.99701,3.42,0.86,10.22,5
7.12,0.767,0.373,8.52,0.073,17.4,73.3,0.99304,3.33,0.558,11.99,6
8.23,0.62,0.35,6.72,0.08,47.2,126.5,0.99648,3.19,1.013,12.77,6
7.79,0.652,0.309,4.47,0.085,34.3,105.1,0.99548,3.32,0.706,8.65,4
6.51,0.389,0.369,6.03,0.075,51.1,160.7,0.99739,3.17,0.609,8.32,4
7.1,0.903,0.05,6.21,0.113,23.2,89.9,0.99775,3.31,0.6,11.12,5
7.13,0.583,0.365,5.56,0.054,27.9,62.4,0.99426,3.58,0.57,10.37,5
8.28,0.508,0.085,1.13,0.056,44.7,66.9,0.9966,3.16,0.509,9.97,5
7.45,0.144,0.366,2.39,0.088,33.3,95.3,0.99987,3.21,0.827,9.68,5
7.47,0.835,0.201,6.29,0.107,10.2,82.1,0.99952,3.25,0.651,9.1,4
9.33,0.398,0.071,3.34,0.052,37.9,90.6,0.99486,3.2,0.646,8.97,4
7.43,0.436,0.409,2.26,0.064,15.9,66.0,0.99482,3.38,0.626,10.54,6
8.22,0.8,0.297,4.9,0.1,57.8,67.8,0.99489,3.37,0.648,10.85,5
7.31,0.978,0.225,0.5,0.088,19.9,62.0,0.99941,3.33,0.852,13.03,7
6.55,0.247,0.574,1.01,0.076,31.5,92.2,0.99325,3.54,0.691,11.73,7
7.39,0.465,0.244,3.25,0.038,13.8,93.3,0.99566,3.31,0.301,11.14,6
8.09,0.737,0.269,2.03,0.02,25.6,53.7,0.99909,3.25,0.766,8.98,4
4.59,0.355,0.267,5.6,0.088,45.3,97.3,0.99807,3.33,0.627,8.87,5
6.27,0.412,0.115,3.45,0.11,26.1,94.2,1.00021,3.38,0.755,9.77,5
8.59,0.388,0.217,0.5,0.1,37.4,79.0,0.99668,3.39,0.702,8.46,4
6.95,0.22,0.422,2.34,0.077,37.0,95.9,0.99691,3.15,0.715,11.18,6
7.65,0.531,0.417,1.39,0.049,11.2,70.2,0.99705,3.49,0.512,10.71,6
6.7,0.293,0.291,0.5,0.058,50.5,120.1,0.99623,3.3,0.543,11.57,6
6.47,0.632,0.049,4.08,0.039,10.2,58.2,0.99736,3.42,0.629,11.59,6
7.71,0.409,0.138,6.83,0.101,25.7,55.2,0.99488,3.46,0.805,10.21,6
8.69,0.575,0.312,3.36,0.052,33.7,56.1,0.99695,3.23,0.618,11.88,6
8.25,0.1,0.386,12.5,0.119,5.4,89.3,0.99666,3.32,0.726,8.76,4
8.58,0.509,0.551,1.72,0.073,40.4,85.8,0.99386,3.18,0.631,11.84,6
8.37,0.428,0.389,1.38,0.034,31.7,118.5,0.99831,3.48,0.516,11.96,7
5.54,0.381,0.499,0.64,0.073,15.2,89.1,0.99465,3.29,0.62,12.49,7
7.75,0.447,0.381,1.48,0.107,36.2,112.0,0.99738,3.52,0.546,10.31,6
6.39,0.367,0.612,1.67,0.058,22.5,96.3,0.99585,3.36,0.784,10.46,5
7.73,0.591,0.367,1.22,0.063,29.8,124.4,0.99277,3.23,0.693,10.52,6
5.73,0.326,0.184,7.43,0.113,46.0,124.0,0.99757,3.16,0.685,11.78,6
6.02,0.787,0.064,2.25,0.098,27.2,102.6,0.99458,3.39,0.662,11.35,5
5.21,0.45,0.311,0.5,0.078,52.7,116.1,0.99826,3.56,0.482,11.82,6
8.0,0.554,0.272,6.29,0.108,14.9,43.6,0.99829,3.35,0.787,10.77,6
7.45,0.801,0.32,7.92,0.05,31.1,65.8,0.99908,3.1,0.643,10.92,6
6.43,0.3,0.17,4.93,0.032,52.1,140.5,0.99645,3.32,0.593,12.43,6
7.78,0.666,0.688,4.24,0.061,39.2,107.6,0.99474,3.24,0.727,11.67,6
6.47,0.515,0.0,0.5,0.078,19.8,102.8,0.99668,3.18,0.811,10.4,5
6.34,0.337,0.269,1.85,0.066,12.3,93.6,0.99641,3.33,0.499,11.14,6
5.03,0.51,0.153,0.99,0.049,11.2,63.8,0.99615,3.55,0.749,11.87,6
7.49,0.306,0.616,0.5,0.106,18.5,92.3,0.99635,3.25,0.658,9.39,5
6.57,0.764,0.29,2.78,0.098,32.8,141.8,0.9941,3.11,0.504,10.22,5
8.51,0.421,0.208,4.33,0.103,31.3,97.7,0.99721,3.36,0.688,11.28,5
6.18,0.665,0.219,3.26,0.066,53.9,125.9,0.99663,3.47,0.752,11.81,6
7.51,0.363,0.268,2.99,0.134,36.0,65.8,0.99779,3.4,0.527,10.39,6
5.99,0.562,0.479,1.36,0.098,29.7,122.5,0.99686,3.1,0.587,11.96,6
7.22,0.638,0.312,2.6,0.061,15.0,71.7,0.9973,3.31,0.634,10.37,5
6.92,0.703,0.491,2.83,0.044,50.4,103.6,0.99754,3.18,0.3,12.0,6
7.34,0.556,0.286,1.99,0.05,31.0,104.1,0.99668,3.3,0.506,13.24,8
5.82,0.435,0.104,4.83,0.108,39.3,132.3,0.99864,3.34,0.76,11.14,5
8.13,1.097,0.286,0.82,0.062,29.2,104.9,0.99715,3.38,0.86,11.36,5
7.01,0.553,0.412,0.5,0.065,46.8,130.0,0.99352,3.2,0.605,9.4,5
7.05,0.493,0.05,1.64,0.033,43.0,102.6,0.99553,3.5,0.636,12.57,7
7.56,0.576,0.162,2.62,0.034,18.9,88.0,0.99531,3.34,0.751,12.21,6
7.88,0.613,0.445,1.21,0.039,40.6,66.0,0.99786,3.48,0.521,10.12,5
6.04,0.628,0.309,0.5,0.086,56.0,99.1,0.99548,3.6,0.757,8.94,4
6.58,0.711,0.185,1.17,0.047,56.4,172.7,0.99388,3.24,0.458,12.3,6
6.61,0.532,0.397,1.31,0.031,45.5,122.1,0.99648,3.0,0.524,13.31,7
6.61,0.535,0.167,1.57,0.08,13.6,66.3,0.99481,3.12,0.79,8.19,4
5.56,0.913,0.195,0.5,0.088,22.2,117.1,0.99719,3.36,0.63,10.77,4
7.91,0.358,0.448,2.88,0.068,41.2,125.7,0.99555,3.39,0.589,10.33,6
6.12,0.377,0.448,1.63,0.117,27.3,140.3,0.99806,3.29,0.428,10.9,5
8.58,0.386,0.66,8.9,0.02,35.1,112.5,0.9982,3.03,0.816,9.65,5
9.1,0.387,0.413,1.71,0.131,20.5,66.6,0.99646,3.38,0.454,11.38,7
7.65,0.592,0.179,0.5,0.039,34.3,87.8,0.9935,3.14,0.724,13.14,7
6.48,0.384,0.277,7.56,0.084,58.9,86.8,0.9952,3.16,0.426,10.02,5
7.08,0.817,0.348,1.99,0.062,45.0,77.4,0.99411,3.26,0.713,10.08,5
6.98,0.547,0.272,0.86,0.155,45.3,72.1,0.99481,3.3,0.828,11.11,6
6.58,0.77,0.31,3.34,0.1,31.5,107.6,0.99864,3.37,0.712,10.78,5
6.56,0.764,0.188,10.47,0.07,40.1,77.1,0.99744,3.2,0.688,11.43,5
5.55,0.229,0.391,3.43,0.092,20.7,90.9,0.99696,3.27,0.675,9.01,4
6.53,0.566,0.287,3.82,0.079,45.7,140.4,0.99561,3.32,0.623,10.67,5
7.33,0.716,0.295,8.07,0.119,48.3,142.4,0.99243,3.59,0.412,12.47,6
7.28,0.17,0.21,4.54,0.067,46.9,111.8,0.99705,3.32,0.576,10.47,5
5.56,0.532,0.372,2.84,0.107,39.4,85.2,0.99544,3.18,0.641,10.17,5
6.11,0.365,0.434,3.82,0.071,30.4,66.1,0.9966,3.32,0.827,11.28,6
8.32,0.408,0.0,3.27,0.037,14.7,70.2,0.99958,3.14,0.603,10.99,6
7.15,0.325,0.102,4.74,0.087,36.4,66.4,0.99558,3.26,0.566,9.69,5
7.2,0.236,0.391,2.0,0.13,23.2,67.5,0.9961,3.1,0.596,10.42,5
7.53,0.617,0.067,1.67,0.112,10.1,51.6,0.99583,3.09,0.373,9.15,5
7.28,0.303,0.359,1.88,0.053,53.5,98.0,0.99573,3.48,0.592,10.69,5
7.52,0.689,0.396,2.04,0.09,39.8,127.4,0.9957,3.26,0.633,11.87,6
4.67,0.636,0.515,1.75,0.068,34.8,91.7,0.99724,3.48,0.864,9.34,5
6.5,0.369,0.294,8.07,0.061,21.9,84.0,0.99371,3.4,0.825,8.54,5
6.87,0.435,0.388,1.21,0.054,29.1,130.4,0.99372,3.15,0.404,8.78,4
8.38,0.668,0.223,2.89,0.091,23.6,52.8,0.99751,3.18,0.677,9.01,4
7.57,0.569,0.405,3.21,0.106,17.1,92.7,0.99474,3.16,0.643,11.98,6
7.6,0.676,0.402,0.96,0.057,37.1,141.3,0.99587,3.22,0.814,9.66,5
7.31,0.524,0.524,0.5,0.094,21.0,31.0,0.99724,3.53,0.659,9.27,4
7.6,0.601,0.142,0.5,0.107,51.1,113.0,0.99723,3.17,0.694,10.97,6
6.66,0.374,0.292,1.25,0.117,5.9,90.3,0.99548,3.26,0.715,11.59,7
7.18,0.481,0.544,0.97,0.077,34.3,137.3,0.99702,3.4,0.82,11.16,6
7.89,0.305,0.298,0.5,0.099,45.9,118.9,0.99699,3.3,0.46,10.04,5
7.0,0.471,0.416,6.8,0.061,45.7,109.6,0.9965,3.22,0.83,9.39,5
7.0,0.305,0.466,1.8,0.06,29.5,100.4,0.9944,3.25,0.825,11.98,6
6.89,0.744,0.261,0.5,0.104,18.8,122.3,0.99729,3.03,0.555,9.88,5
6.77,0.351,0.299,0.59,0.08,15.7,79.1,0.99676,3.61,0.831,10.05,6
8.12,0.351,0.231,0.5,0.01,31.3,95.7,0.99708,3.64,0.717,10.11,5
7.24,0.713,0.262,0.89,0.096,26.0,59.1,0.99737,3.34,0.462,8.79,5
6.75,0.703,0.053,1.81,0.118,13.1,59.9,0.9963,3.6,0.627,11.04,5
8.18,0.464,0.448,2.67,0.062,47.0,103.3,0.99469,3.33,0.443,12.65,6
8.01,0.357,0.149,1.49,0.098,15.4,104.2,0.99814,3.15,0.874,11.89,6
8.08,0.691,0.222,1.23,0.096,55.0,105.1,0.99276,2.98,0.617,11.02,5
8.46,0.252,0.316,0.5,0.058,41.3,107.6,0.99538,3.48,0.905,10.6,6
7.29,0.918,0.008,1.14,0.11,4.5,97.8,0.99862,3.31,0.711,11.07,5
7.9,0.562,0.114,4.13,0.152,1.0,81.6,0.99887,3.38,0.609,10.21,5
7.45,0.413,0.178,1.17,0.07,14.9,58.3,0.99586,3.2,0.41,9.59,4
7.82,0.814,0.431,0.98,0.074,17.5,99.0,0.99346,3.41,0.552,10.47,5
6.96,0.45,0.34,2.91,0.047,20.8,79.3,0.99796,3.21,0.587,11.34,6
6.2,0.638,0.328,3.78,0.065,37.3,114.9,0.99905,3.56,0.707,10.78,5
6.39,0.302,0.202,0.5,0.06,32.9,64.6,0.99724,3.34,0.528,11.19,6
5.83,0.522,0.0,14.57,0.114,30.2,95.1,0.99483,3.3,0.593,9.24,4
9.21,0.276,0.309,6.84,0.095,21.7,90.7,0.9956,3.49,0.679,8.0,4
6.92,0.786,0.482,2.11,0.099,38.4,108.3,0.995,3.41,0.738,11.46,6
7.32,0.391,0.15,7.93,0.088,28.5,38.5,1.00031,3.47,0.623,8.98,4
6.32,0.471,0.394,2.81,0.01,22.1,122.8,0.99628,3.01,0.852,8.78,4
6.63,0.561,0.372,9.7,0.155,15.1,99.9,0.99751,3.27,0.624,10.44,5
8.21,0.404,0.403,8.3,0.093,37.9,60.5,0.99709,3.02,0.76,11.41,6
4.89,0.337,0.587,3.27,0.039,29.1,87.2,0.99954,3.1,0.601,8.11,4
7.86,0.198,0.378,1.82,0.105,34.4,66.8,0.99177,3.4,0.838,11.38,7
8.01,0.733,0.18,1.71,0.063,43.6,75.4,0.99786,3.21,0.739,11.15,6
9.79,0.1,0.389,2.72,0.074,19.0,86.2,0.99742,3.41,0.302,11.14,6
7.33,0.693,0.273,1.14,0.056,31.1,66.5,0.99508,3.17,0.76,9.71,5
7.34,0.654,0.282,1.34,0.075,14.4,62.3,0.99832,3.27,0.496,10.67,6
6.45,0.382,0.336,1.62,0.097,27.2,37.2,0.99841,3.02,0.398,8.74,4
6.48,0.187,0.539,1.74,0.09,27.0,94.6,0.99651,3.35,0.864,9.67,5
5.96,0.486,0.459,0.5,0.106,16.3,37.3,0.99392,3.28,0.708,10.83,6
7.08,0.271,0.673,1.1,0.055,57.9,151.4,0.99692,3.2,0.782,8.15,4
8.01,0.351,0.486,2.67,0.074,41.2,113.0,0.99597,3.58,0.67,9.0,4
7.84,0.38,0.497,5.9,0.089,32.9,105.5,0.99549,3.66,0.697,11.45,6
7.81,0.487,0.239,2.46,0.082,34.0,77.6,0.994,3.57,0.582,11.85,6
4.78,0.692,0.392,0.5,0.055,34.3,116.5,0.99593,3.43,0.843,9.7,5
6.82,0.59,0.324,0.5,0.046,28.7,89.7,0.99893,3.13,0.534,12.61,7
6.91,0.537,0.18,4.59,0.145,43.6,120.8,0.99618,3.49,0.621,12.37,6
6.65,0.427,0.396,13.37,0.094,21.8,95.4,0.99815,3.33,0.84,9.75,5
4.76,0.405,0.062,3.86,0.094,30.5,66.0,0.99613,3.4,0.864,13.09,8
7.85,0.819,0.318,9.31,0.082,31.6,117.1,0.99631,3.41,0.536,9.28,4
6.76,0.557,0.226,0.78,0.03,45.8,170.4,0.9978,3.05,0.762,10.34,5
6.68,0.447,0.431,0.72,0.049,29.6,80.5,0.99248,3.26,0.837,10.52,5
6.47,0.456,0.0,2.11,0.084,44.6,73.2,0.99735,3.14,0.654,11.69,6
8.03,0.688,0.554,0.5,0.071,6.4,53.2,0.99977,3.23,0.812,9.74,5
5.97,0.206,0.255,1.09,0.108,65.5,107.3,0.99729,3.36,0.545,11.55,6
6.45,0.703,0.474,4.64,0.082,31.3,96.1,0.99482,3.19,0.523,10.88,5
6.29,0.516,0.462,2.67,0.052,19.6,96.8,0.99541,3.24,0.8,9.69,5
6.99,0.634,0.416,0.56,0.116,49.5,136.1,0.99595,3.41,0.655,10.88,5
7.52,0.578,0.358,4.48,0.106,58.9,107.6,0.99687,3.39,0.684,11.64,6
7.48,0.424,0.201,0.5,0.061,38.4,85.1,0.99539,3.49,0.845,12.28,6
7.47,0.327,0.256,0.98,0.087,30.9,93.8,0.99497,3.16,0.8,12.94,8
5.55,0.595,0.347,3.14,0.061,24.6,114.5,0.9972,3.31,0.585,12.18,7
6.98,0.74,0.482,0.5,0.049,29.8,64.4,0.99591,3.24,0.85,11.69,6
7.27,0.538,0.294,0.5,0.062,27.2,104.3,0.9925,3.26,0.354,11.54,6
9.15,0.293,0.447,2.25,0.058,33.9,82.0,0.99761,3.57,0.584,10.77,5
7.38,0.333,0.076,3.71,0.075,43.2,142.1,0.99646,3.22,0.788,11.47,6
7.1,0.752,0.15,2.97,0.072,28.8,80.2,0.99658,3.33,0.706,10.75,5
6.15,0.541,0.097,0.5,0.088,1.0,40.8,0.99456,3.47,0.707,9.4,4
8.47,0.1,0.432,3.64,0.048,22.9,70.5,0.99479,3.26,0.574,10.5,5
7.1,0.222,0.439,0.67,0.049,10.1,25.0,0.99578,3.18,0.959,10.5,6
4.93,0.571,0.109,1.34,0.166,46.5,120.1,0.99848,3.19,0.683,11.27,6
6.92,0.593,0.043,1.16,0.088,19.6,114.3,0.99517,3.34,0.519,10.5,5
7.75,0.1,0.079,2.58,0.056,33.5,91.8,0.99838,2.94,0.524,11.22,7
6.04,0.507,0.281,0.5,0.117,49.7,122.0,0.99765,3.19,0.443,11.82,5
7.41,0.696,0.381,12.87,0.05,22.6,75.6,0.99645,3.45,0.476,8.74,4
8.6,0.352,0.389,4.25,0.126,33.4,129.1,0.99461,2.94,0.958,11.74,5
8.37,0.249,0.217,5.42,0.067,36.2,101.4,0.99761,3.47,0.826,11.95,6
8.45,0.581,0.463,0.77,0.082,20.2,98.2,0.99594,3.68,0.65,11.96,7
8.45,0.596,0.676,1.35,0.081,11.1,112.0,0.99288,3.4,0.43,11.64,6
6.68,0.713,0.175,2.44,0.082,22.7,87.3,0.99355,3.29,0.698,10.62,5
8.49,0.431,0.029,0.5,0.068,22.7,70.8,0.99587,3.52,0.3,12.28,6
6.22,0.605,0.352,4.43,0.029,46.7,123.0,0.99576,3.24,0.601,11.81,6
9.64,0.631,0.303,1.5,0.077,28.4,91.9,0.99817,3.41,0.567,10.9,5
6.55,0.363,0.477,0.5,0.047,27.1,50.0,0.99786,3.06,0.932,10.48,6
7.35,0.1,0.306,6.12,0.106,59.3,131.8,0.99762,3.61,0.83,9.59,5
7.88,0.298,0.221,0.84,0.082,44.1,97.9,0.99972,3.21,0.564,9.14,5
7.21,0.522,0.459,6.52,0.1,21.5,80.5,0.99607,3.45,0.655,9.96,5
6.5,0.368,0.0,4.56,0.119,34.7,125.7,0.99891,3.52,0.815,12.98,7
9.32,0.841,0.121,13.12,0.079,30.8,119.3,0.99813,3.31,0.563,11.51,5
6.59,0.529,0.518,0.5,0.126,11.6,108.0,0.99109,3.22,0.666,10.96,6
6.83,0.308,0.407,4.53,0.08,27.3,100.3,0.99756,3.32,0.806,11.33,6
6.71,0.806,0.409,6.73,0.036,30.8,69.8,1.00213,3.57,0.467,8.0,4
5.21,0.841,0.454,1.12,0.086,32.5,67.9,0.99799,3.67,0.532,11.2,6
5.89,0.489,0.269,0.83,0.058,42.1,88.2,0.9984,3.27,0.501,10.37,5
6.92,0.571,0.258,1.37,0.102,42.6,155.6,1.00205,3.29,0.575,11.47,6
7.78,0.913,0.335,0.51,0.078,47.0,171.0,0.99329,3.31,0.511,10.06,4
7.11,0.218,0.223,1.71,0.086,13.2,98.2,0.99586,3.32,0.784,9.73,5
6.48,0.578,0.26,2.9,0.106,20.6,102.1,0.99779,3.39,0.708,11.62,6
4.99,0.5,0.098,0.5,0.091,42.5,52.5,0.99737,3.26,0.702,9.99,5
6.52,0.337,0.274,1.87,0.118,23.0,88.3,0.9948,3.22,0.764,11.42,6
6.59,0.646,0.233,5.81,0.087,39.6,75.5,0.99879,3.32,0.663,10.83,5
5.66,0.523,0.091,1.9,0.074,62.8,156.1,0.99539,3.21,0.781,11.28,6
6.19,0.829,0.694,0.8,0.061,22.6,107.5,0.99824,3.33,0.615,11.68,6
